iter,k,mse_est,mse_true
430,171,3728.565617902007,3641.1555099036186
431,91,2912.5524213156027,3820.300083939545
432,21,3619.860164981379,3583.6096871870427
433,81,3447.6147701287628,3691.037901576007
434,141,3304.3887644148986,3776.094194719732
435,81,3388.1682694333276,3682.5233807235722
436,71,2929.4140009310445,3688.731610258427
437,31,3652.60857648258,3616.342501656684
438,31,3811.886064562271,3664.188040829769
439,51,3166.7063771552816,3645.5408043876646
440,21,3322.2441128451837,3685.4854740057954
441,21,3137.2050863915774,3678.917188350001
442,191,4026.1891862966177,3595.300635017654
443,41,3677.368319257281,3634.9423355232548
444,41,4076.668930077042,3624.676441469756
445,181,3826.699812862787,3679.4362305053214
446,41,3221.1555596371722,3805.0482696273575
447,71,4363.39342344399,3579.245382400283
448,121,3676.031084789172,3663.94634742177
449,71,3260.2753009884436,3614.8562110702505
450,121,3768.410368288195,3655.0860591352366
451,41,2383.227887970043,3797.369817896033
452,71,3296.164372354959,3598.7110976954073
453,51,4653.084608940229,3588.6148910023076
454,51,3470.5673317489945,3744.8396449814113
455,111,3125.885064004827,3864.920981627864
456,91,3816.851650879451,3636.2112313715397
457,111,3340.1686849464936,3671.347450549598
458,141,3843.6309347723222,3745.1056845013163
459,31,3273.6543784850583,3642.0645757907496
460,161,2837.9393877223547,3711.2329908782867
461,51,3524.6822661190704,3626.400964964385
462,31,2514.2291846886637,3991.931777202171
463,81,3361.465331207489,3750.9847567756647
464,91,2539.284326157885,3670.101753931356
465,91,3665.187085215527,3579.640194297331
466,41,3619.1915273079503,3628.7298860623155
467,141,2171.883339473601,3909.4391366901323
468,11,3575.056958281612,3923.85565932282
469,121,3252.242941144501,3646.316935492056
470,21,3909.6102529146337,3662.768690215581
471,31,3572.0859523387035,3773.9137872439096
472,21,3293.014819901152,3864.9162556020865
473,41,2751.105370213282,3704.883584783755
474,31,3364.882119054679,3788.9724788502067
475,121,3697.212632311688,3696.933706870904
476,121,3135.367740260799,3769.3364180560948
477,51,3590.5823806170497,3561.78676159366
478,141,3646.115019859529,3695.2192092291702
479,41,3528.388921591117,3628.5534413023634
480,41,3684.348382397622,3657.200103079362
481,131,3110.7894961983015,3704.763063477702
482,111,3734.2876966410586,3865.9180592351568
483,31,4229.199847904888,3575.587844106941
484,61,4124.137813666654,3672.01716284829
485,101,3846.8605935519345,3669.9574655825613
486,61,3719.9465204071344,3816.3332608298633
487,111,3891.351942123566,3619.0764365440004
488,151,3324.3455689579887,3666.2120326491645
489,51,3457.282664443374,3577.3120697723916
490,101,3328.1098399366165,3974.25176810672
491,61,3254.3188330810144,3570.4458922506387
492,71,3545.29803874999,3557.0814659056637
493,31,3092.735304308507,3621.1382674169367
494,41,3323.1124057997736,3667.0143243162784
495,121,3853.938741436945,3763.2183375242503
496,171,3389.1244532536457,3892.684893342136
497,81,3571.0614307767255,3616.3813272864354
498,31,3771.195991128869,3643.873568283471
499,61,3266.2937462210225,3814.263205510117
500,181,3190.0030496648237,3811.404493115006
501,91,3377.7046501020213,3599.1672741070242
