iter,k,mse_est,mse_true
322,131,3202.6074360259454,3350.2311861087105
323,191,3309.6969316222,3346.536150093443
324,151,3381.38169416385,3339.5491515807175
325,171,3337.1307758893795,3337.190048251669
326,151,3333.7580588496153,3347.141198127805
327,91,3309.731665308662,3356.1196298202
328,191,3387.148469001782,3341.654526209738
329,191,3384.570181024643,3336.676477865252
330,191,3342.123216671293,3344.6933973425857
331,191,3296.4730545479915,3350.104148486986
332,171,3321.7095084886905,3342.4821538912447
333,171,3320.232659230713,3337.4226090084626
334,171,3369.8726882956034,3347.0171248353367
335,121,3326.6716714846316,3350.7488879459434
336,171,3339.654533867799,3341.8061590209186
337,121,3365.6295673520467,3366.6174535471205
338,131,3360.201534824785,3345.200246643765
339,191,3464.4562163281257,3336.369795327682
340,191,3354.9621934896877,3339.464689801367
341,121,3374.4346486507166,3358.2729353974087
342,171,3335.9478282369005,3347.227467155219
343,191,3354.571194307269,3347.3349582662895
344,181,3202.2039574936643,3356.1657828680427
345,141,3316.9339343485813,3358.4120804820845
346,191,3355.5119948460724,3334.796839394849
347,161,3265.012866372255,3348.5422428867905
348,161,3268.099705416502,3347.958669454337
349,191,3269.811131093348,3343.079283265389
350,151,3263.1542042985498,3351.8143402884607
351,191,3298.2234679243174,3340.0273329550537
352,191,3307.3183601422866,3341.625080727467
353,171,3252.505409682255,3346.4318657154436
354,191,3359.174598741848,3339.5143522043654
355,161,3314.4648466098333,3350.546671244516
356,151,3355.34212627121,3351.6979459092
357,191,3281.8034673595016,3352.2451543236684
358,191,3410.4331066019604,3333.9379408866816
359,191,3316.131668226765,3344.7138195417474
360,191,3340.238773307997,3341.8161308157064
361,141,3301.212506742771,3347.3067880709104
362,111,3243.512679424008,3359.1513930020687
363,191,3292.8716844130963,3343.4707902018886
364,131,3346.049667601295,3357.402014753287
365,171,3362.0837667087326,3335.4107139833636
366,161,3374.0942836543645,3345.7592538612066
367,151,3266.189109202048,3349.3828155592278
368,181,3312.378311450665,3341.913278064391
369,191,3360.1670013584585,3334.7346398524605
370,191,3392.627840367177,3332.5932870310176
371,161,3316.2329216595776,3344.057357015268
372,151,3338.3491485911954,3341.497379870719
373,191,3311.988288745716,3347.65799865199
374,191,3232.9029112412522,3359.4403896751073
375,191,3310.6749616697584,3343.9486599550596
376,141,3290.9304767695517,3344.342957903039
377,191,3360.017625375125,3338.0002834410907
378,151,3305.583233953957,3347.3231137955895
